16, 20, PA3-H-Unknown=-SampleReadingsTest.txt 0
  -36.80,   -36.85,   188.61
    9.07,     3.49,   134.51
  -32.34,    18.69,   180.38
   55.75,   -11.48,   164.23
   45.40,   -46.46,   117.56
   15.65,    17.93,   112.93
   -5.45,   -30.38,   -83.09
   15.93,     5.01,   -45.58
   27.38,     2.57,  -104.29
   13.29,    -6.36,   -62.71
   32.35,    18.24,   -91.55
  -28.56,    17.86,   -87.19
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -51.52,   -23.11,   177.79
   -6.24,    17.48,   124.10
  -47.57,    32.44,   169.65
   42.05,     2.86,   154.46
   31.06,   -32.64,   107.47
    0.66,    31.61,   102.71
   -7.49,   -32.68,   -81.13
   14.14,     2.57,   -43.54
   25.76,    -0.53,  -102.21
   11.49,    -8.51,   -60.31
   29.78,    16.22,   -89.62
  -30.75,    15.38,   -86.23
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -38.10,   -49.94,   104.51
    8.29,    -9.18,    50.17
  -33.45,     5.06,    96.74
   55.27,   -24.89,    80.42
   45.62,   -59.47,    34.13
   15.15,     4.47,    28.99
   -2.35,   -30.57,   -81.32
   19.53,     4.15,   -43.55
   31.56,     1.33,  -102.57
   16.86,    -7.32,   -60.40
   35.91,    17.41,   -89.34
  -24.60,    17.41,   -86.02
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -63.05,   -50.16,    75.76
  -17.42,    -9.94,    21.98
  -58.51,     4.59,    67.51
   29.98,   -24.81,    51.96
   20.17,   -59.50,     4.93
  -10.40,     3.67,     1.31
   -3.99,   -28.41,   -83.33
   19.30,     5.87,   -45.50
   29.22,     3.67,  -104.82
   15.92,    -6.24,   -62.13
   34.40,    18.74,   -92.45
  -26.09,    18.72,   -87.77
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -18.12,   -31.56,   153.90
   27.89,     8.25,   100.52
  -13.63,    22.52,   145.86
   75.08,    -6.38,   130.30
   64.79,   -41.12,    83.12
   34.52,    22.56,    78.61
   -2.09,   -30.45,   -82.28
   19.34,     4.43,   -44.26
   30.80,     2.76,  -103.62
   17.27,    -7.04,   -60.61
   35.27,    17.76,   -90.24
  -24.61,    17.05,   -86.15
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -64.67,   -49.22,   121.50
  -18.14,    -8.86,    68.52
  -59.43,     5.71,   114.57
   29.28,   -23.11,    98.54
   19.15,   -58.31,    51.62
  -11.83,     5.37,    47.56
   -3.39,   -29.73,   -82.73
   18.55,     4.75,   -44.85
   29.96,     2.39,  -104.56
   16.43,    -6.17,   -62.06
   34.64,    18.01,   -91.27
  -26.47,    16.93,   -86.96
